단과대학(변경 후),학부(변경 후),전공(변경 후),"전공코드
(학과코드)","전공능력 
번호",전공능력/SPC,"진단문항
번호",전공능력진단문항(MYiCap+),비고,,,,,,
인문대학,,사학과,14190,1,역사자료 이해 및 분석,1,나는 역사자료와 사실에 대한 정보를 이해할 수 있다.,미술사·역사학전공 전공능력 통합(변경),,,,,,
인문대학,,사학과,14190,1,역사자료 이해 및 분석,2,나는 역자자료와 사실에 대한 정보를 분석·해석할 수 있다. ,미술사·역사학전공 전공능력 통합(변경),,,,,,
인문대학,,사학과,14190,1,역사자료 이해 및 분석,3,나는 역사자료와 사실에 대한 정보를 평가하여 명확하게 요약하고 종합할 수 있다.,미술사·역사학전공 전공능력 통합(변경),,,,,,
인문대학,,사학과,14190,2,문화콘텐츠의 이해와 활용,1,나는 다양한 시대의 문화콘텐츠에 대해 이해하고 있다. ,미술사·역사학전공 전공능력 통합(변경),,,,,,
인문대학,,사학과,14190,2,문화콘텐츠의 이해와 활용,2,나는 다양한 지역의 문화콘텐츠에 대해 이해하고 있다. ,미술사·역사학전공 전공능력 통합(변경),,,,,,
인문대학,,사학과,14190,2,문화콘텐츠의 이해와 활용,3,나는 다양한 문화콘텐츠를 활용할 수 있다. ,미술사·역사학전공 전공능력 통합(변경),,,,,,
인문대학,,사학과,14190,3,융합적 사고 및 전문지식 활용 ,1,나는 미술사 또는 역사적 전문지식을 이해하고 있다. ,미술사·역사학전공 전공능력 통합(변경),,,,,,
인문대학,,사학과,14190,3,융합적 사고 및 전문지식 활용 ,2,나는 미술사 또는 역사적 전문지식을 적용할 수 있다. ,미술사·역사학전공 전공능력 통합(변경),,,,,,
인문대학,,사학과,14190,3,융합적 사고 및 전문지식 활용 ,3,나는 미술사 또는 역사적 전문지식을 다른 분야의 현실적인 문제에 대해 통합적 관점을 가지고 유연하게 대응할 수 있다.,미술사·역사학전공 전공능력 통합(변경),,,,,,
인문대학,,미술사학과,14212,1,역사자료 이해 및 분석,1,나는 역사자료와 사실에 대한 정보를 이해할 수 있다.,미술사·역사학전공 전공능력 통합(변경),,,,,,
인문대학,,미술사학과,14212,1,역사자료 이해 및 분석,2,나는 역자자료와 사실에 대한 정보를 분석·해석할 수 있다. ,미술사·역사학전공 전공능력 통합(변경),,,,,,
인문대학,,미술사학과,14212,1,역사자료 이해 및 분석,3,나는 역사자료와 사실에 대한 정보를 평가하여 명확하게 요약하고 종합할 수 있다.,미술사·역사학전공 전공능력 통합(변경),,,,,,
인문대학,,미술사학과,14212,2,문화콘텐츠의 이해와 활용,1,나는 다양한 시대의 문화콘텐츠에 대해 이해하고 있다. ,미술사·역사학전공 전공능력 통합(변경),,,,,,
인문대학,,미술사학과,14212,2,문화콘텐츠의 이해와 활용,2,나는 다양한 지역의 문화콘텐츠에 대해 이해하고 있다. ,미술사·역사학전공 전공능력 통합(변경),,,,,,
인문대학,,미술사학과,14212,2,문화콘텐츠의 이해와 활용,3,나는 다양한 문화콘텐츠를 활용할 수 있다. ,미술사·역사학전공 전공능력 통합(변경),,,,,,
인문대학,,미술사학과,14212,3,융합적 사고 및 전문지식 활용 ,1,나는 미술사 또는 역사적 전문지식을 이해하고 있다. ,미술사·역사학전공 전공능력 통합(변경),,,,,,
인문대학,,미술사학과,14212,3,융합적 사고 및 전문지식 활용 ,2,나는 미술사 또는 역사적 전문지식을 적용할 수 있다. ,미술사·역사학전공 전공능력 통합(변경),,,,,,
인문대학,,미술사학과,14212,3,융합적 사고 및 전문지식 활용 ,3,나는 미술사 또는 역사적 전문지식을 다른 분야의 현실적인 문제에 대해 통합적 관점을 가지고 유연하게 대응할 수 있다.,미술사·역사학전공 전공능력 통합(변경),,,,,,
인문대학,,철학과,14240,1,"논리적,비판적사고및논증적토론",1,나는 논리를 활용하여 일상 및 학문 분야를 이해할 수 있다. ,,,,,,,
인문대학,,철학과,14240,1,"논리적,비판적사고및논증적토론",2,나는 상대방과 생산적으로 토론하고 문제를 해결할 수 있다.,,,,,,,
인문대학,,철학과,14240,1,"논리적,비판적사고및논증적토론",3,나는 논리적 비판적 사고와 논증적 토론에 기초하여 사회현상을 분석하고 콘텐츠를 기획할 수 있다.,,,,,,,
인문대학,,철학과,14240,2,철학적글쓰기,1,나는 논리적 사고에 대해 이해할 수 있다.,,,,,,,
인문대학,,철학과,14240,2,철학적글쓰기,2,나는 설득력 있는 논거를 만들 수 있다.,,,,,,,
인문대학,,철학과,14240,2,철학적글쓰기,3,나는 나의 주장을 논증적으로 구성하는 글을 쓸 수 있다.,,,,,,,
인문대학,,철학과,14240,3,철학콘텐츠해석,1,나는 철학 콘텐츠의 내용을 이해할 수 있다.,,,,,,,
인문대학,,철학과,14240,3,철학콘텐츠해석,2,나는 철학 콘텐츠 내용의 핵심을 통찰할 수 있다.,,,,,,,
인문대학,,철학과,14240,3,철학콘텐츠해석,3,나는 철학 콘텐츠의 내용을 자신의 관점에서 설명하고 서술할 수 있다.,,,,,,,
인문대학,,철학과,14240,4,사회문제의철학적대안모색,1,나는 철학이론을 이해하고 있다. ,,,,,,,
인문대학,,철학과,14240,4,사회문제의철학적대안모색,2,나는 통찰과 안목을 가지고 사회현상을 분석할 수 있다. ,,,,,,,
인문대학,,철학과,14240,4,사회문제의철학적대안모색,3,나는 사회문제를 진단하며 대안을 제시할 수 있다.,,,,,,,
인문대학,,철학과,14240,5,문화예술평론,1,"나는 미학적, 철학적 이론에 대해 이해하고 있다. ",,,,,,,
인문대학,,철학과,14240,5,문화예술평론,2,나는 이론에 기초하여 문화예술작품들을 분석할 수 있다. ,,,,,,,
인문대학,,철학과,14240,5,문화예술평론,3,나는 이론에 기초하여 문화예술작품들을 설명할 수 있다. ,,,,,,,
인문대학,,철학과,14240,6,철학상담,1,나는 세계와 인간에 대한 철학자들의 통찰이 담긴 철학적 개념을 이해하고 있다.,,,,,,,
인문대학,,철학과,14240,6,철학상담,2,나는 사유방식을 길잡이로 삶의 문제를 통찰할 수 있다.,,,,,,,
인문대학,,철학과,14240,6,철학상담,3,나는 삶의 문제를 내담자와 함께 탐구하며 도움을 줄 수 있다.,,,,,,,
인문대학,문예창작학과,문예창작학과,14250,1,창의적언어활용,1,나는 다양한 발상 방식과 상상력을 통해 시 창작과정을 설명할 수 있다.,,,,,,,
인문대학,문예창작학과,문예창작학과,14250,1,창의적언어활용,2,나는 창작물이 보여줄 수 있는 새로운 세계를 적극적으로 탐색하고 자신의 작품을 쓸 수 있다.,,,,,,,
인문대학,문예창작학과,문예창작학과,14250,1,창의적언어활용,3,"나는 자신의 작품을 완성하기 위해 한국 현대 중심으로 주목받는 언어, 감각, 사유, 미학적 특징을 탐구하여 실제 작품활동에 적용된 표현을 구체적으로 해석할 수 있다. ",,,,,,,
인문대학,문예창작학과,문예창작학과,14250,2,비판적해석,1,"나는 예술작품의 주제, 표현, 기술 등의 요인을 분석할 수 있다.",,,,,,,
인문대학,문예창작학과,문예창작학과,14250,2,비판적해석,2,나는 비평적 문제설정방법론을 설명할 수 있다. ,,,,,,,
인문대학,문예창작학과,문예창작학과,14250,2,비판적해석,3,"나는 자신의 지식, 판단, 경험 등을 근거로 작품을 평론할 수 있다.",,,,,,,
인문대학,문예창작학과,문예창작학과,14250,3,창작이론탐구와분석,1,나는 시와 소설 창작의 기본 요소와 현대 시와 소설의 흐름을 설명할 수 있다.,,,,,,,
인문대학,문예창작학과,문예창작학과,14250,3,창작이론탐구와분석,2,나는 극의 본래적 양식이 다양한 매체로 분화하는 과정에서 발생한 변화와 극의 중심 요소를 설명할 수 있다.,,,,,,,
인문대학,문예창작학과,문예창작학과,14250,3,창작이론탐구와분석,3,"나는 창조적인 시적 상상력이 무엇인지 이해하고, 문학 담론과 사회 현상들에 대해 설명할 수 있다.",,,,,,,
인문대학,문예창작학과,문예창작학과,14250,4,출판콘텐츠프로듀싱,1,나는 다양한 조사 등을 통해 독자가 원하는 출판물의 내용과 출판 시장 동향을 파악할 수 있다.,,,,,,,
인문대학,문예창작학과,문예창작학과,14250,4,출판콘텐츠프로듀싱,2,"나는 시장성, 타 출판물과의 차별성, 최근 경향을 고려해 출판물 기획안을 작성할 수 있다.",,,,,,,
인문대학,문예창작학과,문예창작학과,14250,4,출판콘텐츠프로듀싱,3,나는 적합한 작가를 섭외하고 집필된 원고를 검토할 수 있다.,,,,,,,
인문대학,문예창작학과,문예창작학과,14250,5,디지털콘텐츠프로듀싱,1,나는 방송 프로그램의 이야기 구조와 구현 방법을 설명하고 적용할 수 있다.,,,,,,,
인문대학,문예창작학과,문예창작학과,14250,5,디지털콘텐츠프로듀싱,2,"나는 스토리텔링 기초 이론을 바탕으로 문학작품, 영화, 드라마, 게임, 웹툰, 애니메이션의 플롯과 캐릭터 등 이야기 구조를 파악, 분석, 비평할 수 있다.",,,,,,,
인문대학,문예창작학과,문예창작학과,14250,5,디지털콘텐츠프로듀싱,3,"나는 디지털 콘텐츠 기획을 위해 주제를 수집하고, 이를 기반으로 주제와 내용을 정리해 세부적인 대사, 출연진, 촬영구도 등을 직접 기획, 구성할 수 있다.",,,,,,,
인문대학,아시아·중동어문학부,중어중문학전공,14411,1,중국언어학의이해및응용,1,"나는 중국의 언어, 역사, 문화에 대한 이론적인 지식을 습득하고 이해할 수 있다.",,,,,,,
인문대학,아시아·중동어문학부,중어중문학전공,14411,1,중국언어학의이해및응용,2,나는 이론적인 지식을 활용하여 중국어를 체계적으로 이해하고 분석할 수 있다.,,,,,,,
인문대학,아시아·중동어문학부,중어중문학전공,14411,1,중국언어학의이해및응용,3,"나는 한자라는 언어의 특징과 기원, 구조, 형태, 발전에 대하여 설명하고, 내포된 문화를 분석할 수 있다.",,,,,,,
인문대학,아시아·중동어문학부,중어중문학전공,14411,2,중국어의사소통,1,나는 중국어로 화자가 전달하고자 하는 내용을 듣고 이해해 요약할 수 있다.,,,,,,,
인문대학,아시아·중동어문학부,중어중문학전공,14411,2,중국어의사소통,2,나는 현지인과 의사소통이 가능한 수준의 회화스킬을 사용하고 자연스럽게 대화를 나눌 수 있다.,,,,,,,
인문대학,아시아·중동어문학부,중어중문학전공,14411,2,중국어의사소통,3,나는 중국어를 작문 및 중국어 원문을 읽고 해석할 수 있다.,,,,,,,
인문대학,아시아·중동어문학부,중어중문학전공,14411,3,중국사회와문화이해,1,"나는 중국의 트렌드, 비즈니스 문화, 식사 예절, 음주 예법, 대중음악 등에 대해 설명할 수 있다.",,,,,,,
인문대학,아시아·중동어문학부,중어중문학전공,14411,3,중국사회와문화이해,2,"나는 영화, 드라마, SNS 등 중화권의 다양한 콘텐츠를 직접 체험해 보고 그 속에 반영된 중국 사회와 문화의 특징을 종합적으로 설명할 수 있다.",,,,,,,
인문대학,아시아·중동어문학부,중어중문학전공,14411,3,중국사회와문화이해,3,나는 중국과 중국인에 대한 명확한 인식에 기반해 현대 중국의 실상과 당면과제 등을 명확하게 설명할 수 있다.,,,,,,,
인문대학,아시아·중동어문학부,중어중문학전공,14411,4,중국문학및문헌분석,1,"나는 중국문학을 총체적인 시각으로 설명하고, 중국과 한국의 차이점을 비교할 수 있다.",,,,,,,
인문대학,아시아·중동어문학부,중어중문학전공,14411,4,중국문학및문헌분석,2,"나는 중국의 저명한 시와 노랫말을 해석하고, 감상 및 비평할 수 있다",,,,,,,
인문대학,아시아·중동어문학부,중어중문학전공,14411,4,중국문학및문헌분석,3,나는 중국 고대명문 학습을 통해 고대 어법과 고문에 대해 설명할 수 있다.,,,,,,,
인문대학,아시아·중동어문학부,중어중문학전공,14411,5,중국어실무,1,나는 중국어 실무와 관련된 문건을 이해하고 자연스럽게 번역할 수 있다.,,,,,,,
인문대학,아시아·중동어문학부,중어중문학전공,14411,5,중국어실무,2,나는 중국어 실무와 관련된 회화를 현지인과 무리 없이 진행할 수 있다.,,,,,,,
인문대학,아시아·중동어문학부,중어중문학전공,14411,5,중국어실무,3,나는 다양한 비즈니스 상황에 맞는 실무적인 어휘를 습득하고 활용할 수 있다.,,,,,,,
인문대학,아시아·중동어문학부,일어일문학전공,14412,1,인문콘텐츠기획,1,"나는 일본의 인문콘텐츠분야(애니메이션, 문학, 비문학 등)를 이해하고 있다.",,,,,,,
인문대학,아시아·중동어문학부,일어일문학전공,14412,1,인문콘텐츠기획,2,나는 일본의 인문콘텐츠분야를 선정하고 계획과 전략을 수립할 수 있다.,,,,,,,
인문대학,아시아·중동어문학부,일어일문학전공,14412,1,인문콘텐츠기획,3,나는 일본의 인문콘텐츠분야에 대해 번역 및 분석 업무를 수행할 수 있다.,,,,,,,
인문대학,아시아·중동어문학부,일어일문학전공,14412,2,인문콘텐츠제작,1,나는 일본의 각종 인문콘텐츠매체에 대해 이해하고 있다.,,,,,,,
인문대학,아시아·중동어문학부,일어일문학전공,14412,2,인문콘텐츠제작,2,나는 적합한 일본의 인문콘텐츠를 발굴할 수 있다.,,,,,,,
인문대학,아시아·중동어문학부,일어일문학전공,14412,2,인문콘텐츠제작,3,나는 일본의 인문콘텐츠를 기획ㆍ제작하고 관리할 수 있다.,,,,,,,
인문대학,아시아·중동어문학부,아랍지역학전공,14413,1,국제교류,1,나는 세계화 시대에 세계인과 공유할 수 있는 한국 고유의 인문학적 가치에 대해 이해하고 있다.,,,,,,,
인문대학,아시아·중동어문학부,아랍지역학전공,14413,1,국제교류,2,나는 세계화 시대에 세계인과 공유할 수 있는 한국 고유의 인문학적 가치를 재발견할 수 있다.,,,,,,,
인문대학,아시아·중동어문학부,아랍지역학전공,14413,1,국제교류,3,나는 중동 지역에서 한국 문화의 우수성을 효과적으로 홍보할 수 있다.,,,,,,,
인문대학,아시아·중동어문학부,아랍지역학전공,14413,2,통상실무,1,나는 인문학 지식과 문화콘텐츠에 이해하고 있다.,,,,,,,
인문대학,아시아·중동어문학부,아랍지역학전공,14413,2,통상실무,2,나는 인문학 지식과 문화콘텐츠를 현지인의 문화 코드에 적용할 수 있다.,,,,,,,
인문대학,아시아·중동어문학부,아랍지역학전공,14413,2,통상실무,3,나는 인문학 지식과 문화콘텐츠를 현지인의 문화 코드에 맞는 상품의 기획･홍보･마케팅･수출할 수 있다.,,,,,,,
인문대학,아시아·중동어문학부,아랍지역학전공,14413,3,문화소통,1,"나는 아랍어를 기반으로 중동 25개국의 정치, 경제, 사회, 문화를 이해할 수 있다.",,,,,,,
인문대학,아시아·중동어문학부,아랍지역학전공,14413,3,문화소통,2,나는 아랍어를 기반으로 현지 지역학과 인문학적 소양을 갖출 수 있다.,,,,,,,
인문대학,아시아·중동어문학부,아랍지역학전공,14413,3,문화소통,3,나는 아랍어를 기반으로 현지인과 소통할 수 있다.,,,,,,,
인문대학,아시아·중동어문학부,글로벌한국어학전공,14414,1,한국어 소통,1,"나는 한국어로 작성된 다양한 텍스트를 읽고, 해석할 수 있다.",,,,,,,
인문대학,아시아·중동어문학부,글로벌한국어학전공,14414,1,한국어 소통,2,나는 한국어로 문장과 글을 쓸 수 있다.,,,,,,,
인문대학,아시아·중동어문학부,글로벌한국어학전공,14414,1,한국어 소통,3,나는 한국어의 어휘와 표현을 익히고 습득하여 활용할 수 있다.,,,,,,,
인문대학,아시아·중동어문학부,글로벌한국어학전공,14414,2,한국 문화 콘텐츠의 이해,1,나는 한국 문학의 전반적인 흐름과 시기별 특징에 관해 설명할 수 있다.,,,,,,,
인문대학,아시아·중동어문학부,글로벌한국어학전공,14414,2,한국 문화 콘텐츠의 이해,2,나는 한국의 노래와 같은 다양한 한국의 콘텐츠를 접하고 그 속에 있는 한국 문화의 특수성을 분석할 수 있다.,,,,,,,
인문대학,아시아·중동어문학부,글로벌한국어학전공,14414,2,한국 문화 콘텐츠의 이해,3,나는 한국의 전통 문화와 현대 문화의 특징을 이해하고 그 속에 담긴 한국문화를 비평할 수 있다.,,,,,,,
인문대학,아시아·중동어문학부,글로벌한국어학전공,14414,3,한국어 탐구,1,"나는 한국어의 어문 규범과 문법의 여러 이론을 이해하고, 한국어 자체의 분석을 통해 발생하는 개별 언어 현상에 이론을 적용할 수 있다.",,,,,,,
인문대학,아시아·중동어문학부,글로벌한국어학전공,14414,3,한국어 탐구,2,나는 한국어 연구와 한국어 교육의 개념과 방법론을 익히고 한국어만의 특수성을 구별할 수 있다.,,,,,,,
인문대학,아시아·중동어문학부,글로벌한국어학전공,14414,3,한국어 탐구,3,나는 한국어와 다른 언어들과의 유사성과 차이점을 분석할 수 있다.,,,,,,,
인문대학,아시아·중동어문학부,글로벌한국어학전공,14414,4,한국어 교육·활용,1,"나는 한국어 문법, 발음, 표현, 한자, 어휘 등을 가르치기 위한 이론을 이해하고, 이를 실제로 적용할 수 있다.",,,,,,,
인문대학,아시아·중동어문학부,글로벌한국어학전공,14414,4,한국어 교육·활용,2,나는 한국어 교육과정을 설계하고 개발하여 한국어 교재를 제작할 수 있다.,,,,,,,
인문대학,아시아·중동어문학부,글로벌한국어학전공,14414,4,한국어 교육·활용,3,나는 다른 외국인들을 대상으로 실제로 한국어를 가르칠 수 있다.,,,,,,,
인문대학,인문콘텐츠학부,국어국문학전공,14421,1,인간문화이해,1,나는 언어화된 문화 활동을 학습함으로써 인간과 사회의 보편적 속성에 대해 이해할 수 있다.,,,,,,,
인문대학,인문콘텐츠학부,국어국문학전공,14421,1,인간문화이해,2,나는 언어화된 문화 활동을 학습함으로써 우리 민족의 특수성에 대해 알 수 있다.,,,,,,,
인문대학,인문콘텐츠학부,국어국문학전공,14421,1,인간문화이해,3,나는 언어화된 문화 활동을 학습함으로써 사회 문화 활동의 주체로서 지녀야 할 기본 자질을 갖출 수 있다.,,,,,,,
인문대학,인문콘텐츠학부,국어국문학전공,14421,2,콘텐츠분석과해석,1,나는 언어문화 콘텐츠를 분석·해석하는 과정에 대해 이해하고 있다.,,,,,,,
인문대학,인문콘텐츠학부,국어국문학전공,14421,2,콘텐츠분석과해석,2,나는 언어문화 콘텐츠를 분석·해석하는 방법을 적용할 수 있다.,,,,,,,
인문대학,인문콘텐츠학부,국어국문학전공,14421,2,콘텐츠분석과해석,3,나는 언어문화 콘텐츠에 대해 논리적 사고를 통해 객관적 비판을 할 수 있다.,,,,,,,
인문대학,인문콘텐츠학부,국어국문학전공,14421,3,언어활동,1,나는 한국어의 기본 구조와 체계를 이해하고 있다.,,,,,,,
인문대학,인문콘텐츠학부,국어국문학전공,14421,3,언어활동,2,나는 상황에 따른 언어 구사를 할 수 있다.,,,,,,,
인문대학,인문콘텐츠학부,국어국문학전공,14421,3,언어활동,3,나는 언어활동에 대한 자기 판단과 수정을 할 수 있다.,,,,,,,
인문대학,인문콘텐츠학부,국어국문학전공,14421,4,언어교육과탐구,1,나는 언어교육의 내용과 방법을 이해하고 교육에 적용할 수 있다.,신설,,,,,,
인문대학,인문콘텐츠학부,국어국문학전공,14421,4,언어교육과탐구,2,"나는 언어교육의 대상이 되는 학습자의 인지적, 정의적 측면을 이해하고 체계적으로 분석할 수 있다.",신설,,,,,,
인문대학,인문콘텐츠학부,국어국문학전공,14421,4,언어교육과탐구,3,나는 한국어를 비롯한 여러 언어를 탐구하여 언어의 보편성과 특수성을 이해하고 이를 설명할 수 있다.,신설,,,,,,
인문대학,인문콘텐츠학부,영어영문학전공,14422,1,영어소통,1,나는 영어 중상급 수준의 어휘와 문법이 사용된 대화를 듣고 주제와 의도를 파악할 수 있다.,,,,,,,
인문대학,인문콘텐츠학부,영어영문학전공,14422,1,영어소통,2,나는 영어로 쓰여진 다양한 텍스트를 읽고 그 내용과 주제를 설명할 수 있다.,,,,,,,
인문대학,인문콘텐츠학부,영어영문학전공,14422,1,영어소통,3,"나는 영어로 자신의 생각을 대화, 담화, 연설 등 다양한 형식으로 청자에게 전달할 수 있다.",,,,,,,
인문대학,인문콘텐츠학부,영어영문학전공,14422,2,영어의언어학적이해및응용,1,"나는 언어과학적인 관점에서 영어를 분석하고, 인간활동에서 언어의 역할을 설명할 수 있다.",,,,,,,
인문대학,인문콘텐츠학부,영어영문학전공,14422,2,영어의언어학적이해및응용,2,"나는 영어의 기초적인 음성, 음운, 형태, 구문, 의미 등을 분석하고 설명할 수 있다.",,,,,,,
인문대학,인문콘텐츠학부,영어영문학전공,14422,2,영어의언어학적이해및응용,3,나는 고급 수준의 영어 문법을 통사론적 관점을 접목하여 설명할 수 있다.,,,,,,,
인문대학,인문콘텐츠학부,영어영문학전공,14422,3,영미문학의이해및응용,1,나는 영어영문학을 학습하기 위해 필요한 기초용어와 문학형식을 설명할 수 있다.,,,,,,,
인문대학,인문콘텐츠학부,영어영문학전공,14422,3,영미문학의이해및응용,2,"나는 영미 문학작품을 비판적으로 읽고 그 속에 담긴 사회적, 역사적, 문화적 배경을 설명할 수 있다.",,,,,,,
인문대학,인문콘텐츠학부,영어영문학전공,14422,3,영미문학의이해및응용,3,나는 영미문학작품을 읽고 그 작품의 사회·문화적 배경 및 비평이론에 근거해 비평할 수 있다.,,,,,,,
인문대학,인문콘텐츠학부,영어영문학전공,14422,4,영어교육,1,나는 영어 학습법 대한 기초 이론을 설명할 수 있다.,,,,,,,
인문대학,인문콘텐츠학부,영어영문학전공,14422,4,영어교육,2,나는 영어 교수법에 대한 기초 이론을 적용할 수 있다.,,,,,,,
인문대학,인문콘텐츠학부,영어영문학전공,14422,4,영어교육,3,나는 학생 개인의 요구에 부응하는 영어 교수법을 개발하고 발전시킬 수 있다.,,,,,,,
인문대학,인문콘텐츠학부,영어영문학전공,14422,5,영어실무,1,나는 ICT 정보를 제공하는 영어 원문을 읽고 이해할 수 있다.,,,,,,,
인문대학,인문콘텐츠학부,영어영문학전공,14422,5,영어실무,2,"나는 비즈니스 상황에서 영어로 말하고, 듣고, 읽고, 쓸 수 있다.",,,,,,,
인문대학,인문콘텐츠학부,영어영문학전공,14422,5,영어실무,3,"나는 뉴스, 잡지 기사 등에 실린 시사적인 글을 읽고 그 배경 및 시사점 등에 대해 설명할 수 있다.",,,,,,,
인문대학,인문콘텐츠학부,미술사·역사학전공,14423,1,역사자료 이해 및 분석,1,나는 역사자료와 사실에 대한 정보를 이해할 수 있다.,"신설(미술사학과, 사학과 통합)",,,,,,
인문대학,인문콘텐츠학부,미술사·역사학전공,14423,1,역사자료 이해 및 분석,2,나는 역자자료와 사실에 대한 정보를 분석·해석할 수 있다. ,"신설(미술사학과, 사학과 통합)",,,,,,
인문대학,인문콘텐츠학부,미술사·역사학전공,14423,1,역사자료 이해 및 분석,3,나는 역사자료와 사실에 대한 정보를 평가하여 명확하게 요약하고 종합할 수 있다.,"신설(미술사학과, 사학과 통합)",,,,,,
인문대학,인문콘텐츠학부,미술사·역사학전공,14423,2,문화콘텐츠의 이해와 활용,1,나는 다양한 시대의 문화콘텐츠에 대해 이해하고 있다. ,"신설(미술사학과, 사학과 통합)",,,,,,
인문대학,인문콘텐츠학부,미술사·역사학전공,14423,2,문화콘텐츠의 이해와 활용,2,나는 다양한 지역의 문화콘텐츠에 대해 이해하고 있다. ,"신설(미술사학과, 사학과 통합)",,,,,,
인문대학,인문콘텐츠학부,미술사·역사학전공,14423,2,문화콘텐츠의 이해와 활용,3,나는 다양한 문화콘텐츠를 활용할 수 있다. ,"신설(미술사학과, 사학과 통합)",,,,,,
인문대학,인문콘텐츠학부,미술사·역사학전공,14423,3,융합적 사고 및 전문지식 활용 ,1,나는 미술사 또는 역사적 전문지식을 이해하고 있다. ,"신설(미술사학과, 사학과 통합)",,,,,,
인문대학,인문콘텐츠학부,미술사·역사학전공,14423,3,융합적 사고 및 전문지식 활용 ,2,나는 미술사 또는 역사적 전문지식을 적용할 수 있다. ,"신설(미술사학과, 사학과 통합)",,,,,,
인문대학,인문콘텐츠학부,미술사·역사학전공,14423,3,융합적 사고 및 전문지식 활용 ,3,나는 미술사 또는 역사적 전문지식을 다른 분야의 현실적인 문제에 대해 통합적 관점을 가지고 유연하게 대응할 수 있다.,"신설(미술사학과, 사학과 통합)",,,,,,
인문대학,인문콘텐츠학부,문헌정보학전공,14424,1,문헌정보지식탐구,1,"나는 다양한 매체의 문헌정보를 생성, 수집하기 위한 이론을 이해하고 있다. ",,,,,,,
인문대학,인문콘텐츠학부,문헌정보학전공,14424,1,문헌정보지식탐구,2,나는 다양한 매체의 문헌정보를 조직하기 위한 이론을 이해할 수 있다.,,,,,,,
인문대학,인문콘텐츠학부,문헌정보학전공,14424,1,문헌정보지식탐구,3,나는 다양한 매체의 문헌정보를 보존 및 제공하기 위한 이론을 이해할 수 있다. ,,,,,,,
인문대학,인문콘텐츠학부,문헌정보학전공,14424,2,문헌정보및정보센터실무수행,1,"나는 다양한 매체의 문헌정보를 생성, 수집, 조직, 보존 및 제공하는 도서관 및 정보센터 업무를 이해하고 있다.",,,,,,,
인문대학,인문콘텐츠학부,문헌정보학전공,14424,2,문헌정보및정보센터실무수행,2,"나는 다양한 매체의 문헌정보를 생성, 수집, 조직, 보존 및 제공하는 도서관 및 정보센터 업무를 적용할 수 있다.",,,,,,,
인문대학,인문콘텐츠학부,문헌정보학전공,14424,2,문헌정보및정보센터실무수행,3,"나는 다양한 매체의 문헌정보를 생성, 수집, 조직, 보존 및 제공하는 도서관 및 정보센터 업무를 수행할 수 있다.",,,,,,,
인문대학,인문콘텐츠학부,문헌정보학전공,14424,3,문헌정보응용,1,나는 다양한 매체의 문헌정보를 유관 분야를 이해하고 있다.,,,,,,,
인문대학,인문콘텐츠학부,문헌정보학전공,14424,3,문헌정보응용,2,나는 다양한 매체의 문헌정보를 유관 분야를 조사하고 분석할 수 있다.,,,,,,,
인문대학,인문콘텐츠학부,문헌정보학전공,14424,3,문헌정보응용,3,나는 다양한 매체의 문헌정보를 유관 분야와 융복합하고 응용할 수 있다. ,,,,,,,
인문대학,인문콘텐츠학부,문헌정보학전공,14424,4,문헌정보진로실행,1,나는 세미나 및 실습 등을 통해 문헌정보 관련 분야의 진로를 이해할 수 있다.,,,,,,,
