Person working on electronic circuit board,A person welding with an industrial background
Three children painting with watercolor on paper in a kindergarten,Confident professional in a suit extending a hand for a handshake
Politician talking over the mike,Gardening Tools
"A desk with laptop computer, financial reports with graphs and charts, a ballpoint pen, smartphone, tablet, and cup of coffee","film making equipment including lights, clap board, directors chair, mic stand, and a camera on a tripod"
Person Working with a Building Plan,Airplane cockpit instruments.
Audience in a conference hall for a Business Conference and Presentation,Business person with calculator doing accounting
Back view image of businessman with arms crossed behind back examining a large trends board,Engineer Teaching Apprentices To Use the control panel for a computerized lathe
A closeup of a scientist holding a pill in a laboratory,People talking in a support group.
Business person with calculator doing accounting,Person using multimeter on wall socket wires.
A classical guitar with a person writing sheet music,Car Salesman Handing Keys
A person is reviewing graphs on a tablet device at a desk with various other graphs and a calculator,Sports coach talking to students.
Police officers making an arrest.,Animal skulls arranged on a shelf
A scientist in a chemical suit is drawing blood samples from a pipette,Fire Fighters in Action
Fire Fighters in Action,Writer's Tools
Hiking Gear,Back view image of businessman with arms crossed behind back examining a large trends board
Sports coach talking to students.,Hiking Gear
People talking in a support group.,A classical guitar with a person writing sheet music
A digital illustration of two neurons connecting via electrochemical transmissions,Teacher at front of high school class.
"Graphic designer working at a desk with a color wheel, digital drawing tablet, and a laptop",Empty courtroom with chair of judge.
Shaking hands in agreement.,Chef pouring sauce on meat.
Digital photo camera in studio with softbox and flashes,Client at therapy appointment.
Empty courtroom with chair of judge.,Teacher reading story book to children in kindergarten
A man and woman on a couch having a discussion while a third person takes notes,A person is working on a gas water heater
Therapist Working with Client,Scientist pouring from beaker in clinical laboratory.
Nurse touching patient hands.,Financial accounting stock market graphs analysis with a pen and calculator
Client at therapy appointment.,Audience in a conference hall for a Business Conference and Presentation
Writer's Tools,A digital illustration of two neurons connecting via electrochemical transmissions
Business person making a presentation.,A person in a biosuit is in a cornfield examining a corncob
Process of creating pottery by hand.,Three children painting with watercolor on paper in a kindergarten
Chef pouring sauce on meat.,Person using calculator and computer.
Airplane cockpit instruments.,School Teacher with Student
A man in a suit drawing line graphs on an electronic chart,Politician talking over the mike
Teacher at front of high school class.,"Graphic designer working at a desk with a color wheel, digital drawing tablet, and a laptop"
A person in a biosuit is in a cornfield examining a corncob,Bank clerk accepting cash over the counter.
Person using multimeter on wall socket wires.,Doctors and nurse at clinic.
A person welding with an industrial background,Fashion designer drawing clothing.
School Teacher with Student,"Two colleagues working side by side on laptops, appearing focused and collaborative."
Doctors and nurse at clinic.,Digital photo camera in studio with softbox and flashes
Couple buying car at dealership and negotiating price with salesman,"An artist's palette containing paints, paint brushes, and a trowel"
Financial accounting stock market graphs analysis with a pen and calculator,Shaking hands in agreement.
A woman writing in a notebook,A person is reviewing graphs on a tablet device at a desk with various other graphs and a calculator
Car Salesman Handing Keys,Nurse touching patient hands.
A control room where people are working at computers in consoles around the room,Police officers making an arrest.
A person is working on a gas water heater,Business person making a presentation.
Confident professional in a suit extending a hand for a handshake.,A control room where people are working at computers in consoles around the room
"An artist's palette containing paints, paint brushes, and a trowel",Selecting books from shelves in library
Engineer Teaching Apprentices To Use the control panel for a computerized lathe,"A desk with laptop computer, financial reports with graphs and charts, a ballpoint pen, smartphone, tablet, and cup of coffee"
Gardening Tools,Looking at computer code on dual monitors
A person working on an engine with a socket wrench,Therapist Working with Client
Scientist pouring from beaker in clinical laboratory.,Image of a Man Giving Speech in Front of Audience in a Seminar Hall
Looking at computer code on dual monitors,A scientist in a chemical suit is drawing blood samples from a pipette
Teacher reading story book to children in kindergarten,A man in a suit drawing line graphs on an electronic chart
Image of a Man Giving Speech in Front of Audience in a Seminar Hall,A woman writing in a notebook
Animal skulls arranged on a shelf,Process of creating pottery by hand.
Selecting books from shelves in library,A man and woman on a couch having a discussion while a third person takes notes
Person using calculator and computer.,Person working on electronic circuit board.
Bank clerk accepting cash over the counter.,Person Working with a Building Plan
"Two colleagues working side by side on laptops, appearing focused and collaborative.",Couple buying car at dealership and negotiating price with salesman